ID,sentiment
0,2
1,0
2,1
3,1
4,1
5,1
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,2
24,1
25,1
26,2
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,2
48,1
49,2
50,0
51,2
52,1
53,1
54,2
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,2
63,2
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,2
72,1
73,2
74,1
75,2
76,2
77,1
78,2
79,1
80,1
81,1
82,1
83,0
84,0
85,2
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,1
101,2
102,1
103,2
104,1
105,1
106,2
107,1
108,1
109,2
110,1
111,2
112,0
113,1
114,0
115,1
116,2
117,0
118,2
119,1
120,1
121,2
122,1
123,1
124,1
125,2
126,0
127,1
128,1
129,2
130,0
131,1
132,0
133,1
134,1
135,1
136,2
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,0
147,1
148,2
149,2
150,1
151,2
152,0
153,2
154,1
155,2
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,2
164,1
165,2
166,0
167,2
168,2
169,1
170,2
171,2
172,0
173,1
174,0
175,0
176,2
177,1
178,0
179,2
180,1
181,0
182,2
183,1
184,1
185,2
186,2
187,1
188,0
189,0
190,0
191,2
192,2
193,1
194,0
195,2
196,1
197,2
198,1
199,1
200,1
201,0
202,1
203,1
204,2
205,1
206,0
207,2
208,2
209,0
210,1
211,1
212,1
213,2
214,1
215,2
216,2
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,2
225,1
226,1
227,1
228,1
229,2
230,1
231,1
232,1
233,2
234,2
235,0
236,1
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,2
246,1
247,0
248,2
249,1
250,1
251,2
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,2
260,2
261,1
262,0
263,2
264,2
265,1
266,1
267,1
268,1
269,2
270,2
271,2
272,0
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,2
282,0
283,1
284,1
285,1
286,2
287,2
288,2
289,1
290,2
291,2
292,2
293,2
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,0
302,2
303,1
304,2
305,2
306,0
307,2
308,1
309,1
310,1
311,1
312,2
313,1
314,1
315,1
316,1
317,2
318,1
319,0
320,0
321,1
322,1
323,0
324,1
325,2
326,1
327,2
328,2
329,1
330,1
331,1
332,2
333,2
334,1
335,2
336,2
337,2
338,2
339,1
340,1
341,1
342,1
343,2
344,1
345,2
346,2
347,2
348,1
349,2
350,1
351,1
352,0
353,2
354,0
355,2
356,2
357,1
358,2
359,2
360,2
361,1
362,1
363,1
364,2
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,2
392,1
393,0
394,2
395,1
396,1
397,1
398,0
399,2
400,2
401,1
402,0
403,1
404,0
405,1
406,2
407,2
408,2
409,0
410,2
411,1
412,2
413,0
414,1
415,2
416,1
417,2
418,1
419,1
420,2
421,2
422,1
423,2
424,2
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,2
435,2
436,2
437,0
438,1
439,1
440,1
441,2
442,0
443,2
444,0
445,1
446,2
447,0
448,0
449,1
450,0
451,1
452,2
453,1
454,1
455,2
456,1
457,1
458,1
459,1
460,2
461,2
462,1
463,0
464,0
465,1
466,1
467,1
468,1
469,2
470,0
471,1
472,0
473,1
474,2
475,2
476,2
477,1
478,0
479,1
480,0
481,0
482,2
483,2
484,0
485,1
486,2
487,2
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,2
496,0
497,2
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,2
510,2
511,0
512,0
513,1
514,1
515,1
516,1
517,2
518,1
519,1
520,2
521,0
522,2
523,0
524,1
525,2
526,1
527,1
528,0
529,0
530,1
531,1
532,2
533,1
534,2
535,1
536,2
537,1
538,0
539,2
540,1
541,0
542,2
543,1
544,1
545,0
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,2
554,2
555,1
556,2
557,2
558,1
559,1
560,1
561,2
562,2
563,2
564,2
565,0
566,2
567,1
568,1
569,2
570,1
571,2
572,1
573,1
574,1
575,1
576,2
577,2
578,1
579,0
580,1
581,2
582,2
583,1
584,0
585,1
586,0
587,1
588,1
589,1
590,1
591,2
592,2
593,1
594,2
595,0
596,1
597,1
598,2
599,1
600,2
601,1
602,2
603,1
604,2
605,1
606,2
607,1
608,1
609,1
610,0
611,2
612,1
613,1
614,1
615,2
616,1
617,1
618,2
619,1
620,1
621,2
622,1
623,1
624,2
625,0
626,1
627,0
628,0
629,1
630,2
631,0
632,2
633,1
634,2
635,1
636,1
637,0
638,1
639,1
640,1
641,2
642,1
643,2
644,1
645,1
646,2
647,1
648,1
649,1
650,1
651,1
652,0
653,2
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,2
667,1
668,1
669,0
670,2
671,1
672,1
673,1
674,1
675,1
676,0
677,2
678,2
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,2
691,2
692,0
693,1
694,1
695,1
696,1
697,2
698,1
699,2
700,1
701,1
702,1
703,2
704,1
705,0
706,2
707,1
708,2
709,0
710,2
711,1
712,1
713,1
714,1
715,2
716,1
717,1
718,2
719,1
720,1
721,2
722,1
723,1
724,1
725,1
726,1
727,2
728,1
729,1
730,1
731,1
732,1
733,1
734,2
735,1
736,0
737,1
738,1
739,1
740,1
741,2
742,1
743,1
744,0
745,1
746,2
747,2
748,1
749,1
750,1
751,1
752,0
753,1
754,1
755,2
756,1
757,1
758,0
759,1
760,1
761,2
762,1
763,2
764,0
765,2
766,1
767,1
768,0
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,2
777,0
778,0
779,1
780,2
781,1
782,1
783,2
784,0
785,0
786,1
787,1
788,2
789,0
790,0
791,2
792,1
793,0
794,2
795,1
796,1
797,1
798,1
799,1
800,2
801,1
802,1
803,1
804,2
805,2
806,1
807,1
808,0
809,1
810,2
811,0
812,2
813,1
814,2
815,1
816,1
817,2
818,1
819,1
820,1
821,1
822,2
823,2
824,2
825,0
826,1
827,1
828,0
829,1
830,0
831,1
832,1
833,1
834,2
835,1
836,2
837,1
838,1
839,2
840,1
841,0
842,1
843,1
844,0
845,2
846,1
847,1
848,2
849,1
850,1
851,0
852,1
853,0
854,2
855,2
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,0
864,1
865,1
866,0
867,2
868,1
869,2
870,1
871,1
872,2
873,1
874,1
875,1
876,1
877,2
878,2
879,2
880,1
881,1
882,1
883,1
884,2
885,1
886,1
887,1
888,1
889,1
890,2
891,1
892,2
893,2
894,1
895,1
896,1
897,1
898,2
899,1
900,0
901,1
902,1
903,1
904,1
905,2
906,0
907,2
908,1
909,0
910,1
911,1
912,0
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,1
921,1
922,2
923,2
924,0
925,2
926,1
927,0
928,1
929,1
930,1
931,1
932,2
933,1
934,0
935,1
936,1
937,1
938,1
939,2
940,2
941,0
942,2
943,1
944,2
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,2
955,2
956,1
957,2
958,1
959,0
960,2
961,1
962,1
963,1
964,0
965,2
966,0
967,2
968,1
969,1
970,0
971,1
972,0
973,1
974,1
975,1
976,1
977,2
978,1
979,2
980,1
981,1
982,1
983,1
984,1
985,0
986,1
987,2
988,1
989,2
990,1
991,2
992,1
993,1
994,1
995,1
996,0
997,2
998,2
999,2
1000,2
1001,1
1002,1
1003,1
1004,2
1005,2
1006,0
1007,1
1008,2
1009,1
1010,2
1011,2
1012,2
1013,2
1014,1
1015,0
1016,1
1017,2
1018,1
1019,2
1020,2
1021,2
1022,1
1023,1
1024,0
1025,1
1026,2
1027,0
1028,2
1029,1
1030,1
1031,0
1032,2
1033,1
1034,1
1035,2
1036,0
1037,2
1038,0
1039,1
1040,2
1041,1
1042,2
1043,2
1044,0
1045,1
1046,2
1047,0
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,2
1060,2
1061,1
1062,1
1063,2
1064,2
1065,1
1066,1
1067,0
1068,2
1069,1
1070,0
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,2
1079,1
1080,1
1081,1
1082,1
1083,2
1084,1
1085,0
1086,2
1087,1
1088,1
1089,1
1090,1
1091,2
1092,0
1093,1
1094,2
1095,1
1096,2
1097,1
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,2
1119,1
1120,2
1121,1
1122,2
1123,2
1124,1
1125,1
1126,1
1127,2
1128,1
1129,1
1130,2
1131,1
1132,0
1133,0
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,2
1145,1
1146,0
1147,2
1148,2
1149,0
1150,1
1151,0
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
